seed,epoch,pde_mse,xi_dist_to_ls,xi_dist_to_true,gradient_norm,good_basin,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
11,2000,1.415402889251709,0.9262439120808383,1.0306170306453377,10.042649269104004,False,-0.10385235399007797,-0.11411682516336441,0.0010405671782791615,0.017615893855690956,0.018191685900092125,-0.03129507228732109,9.772094927029684e-05,-0.00014302460476756096,-4.518128480412997e-05
11,3000,1.2113022804260254,0.9168148204250004,1.024031562142544,7.715609073638916,False,-0.12382573634386063,-0.05726656690239906,0.000506069918628782,0.013876896351575851,0.0143205551430583,-0.02468939684331417,9.440382564207539e-05,-0.00014565105084329844,-3.1738352845422924e-05
11,5000,0.9324309229850769,0.9047691585312586,1.0152122821044192,2.665726661682129,False,-0.1460788995027542,0.020258042961359024,-0.0006180484779179096,0.004050728864967823,0.004197561182081699,-0.007230020593851805,6.510848470497876e-05,-0.00011358928168192506,-5.091868615636486e-07
12,0,63189.984375,0.9941944259075959,1.0748119406581782,2271114.5,False,0.15852133929729462,-0.2978413701057434,0.26695573329925537,-0.0017730036051943898,-0.011949155479669571,0.005145143251866102,0.014481095597147942,0.06166008859872818,0.010455656796693802
12,100,29.639135360717773,1.0216400122983833,1.0995874901120917,587.3809814453125,False,0.33931609988212585,-0.2410561889410019,0.19487622380256653,0.0012974425917491317,0.002505890093743801,0.007487115450203419,0.00019641780818346888,0.013842473737895489,1.7514397768536583e-05
12,500,1.05660879611969,0.9077125155198033,1.0104054522641372,10.882037162780762,False,-0.06132538989186287,-0.12956710159778595,0.007329404354095459,0.0011643047910183668,7.972547609824687e-05,0.007002151571214199,-1.6285940773741459e-06,0.0005945653538219631,1.2569824320962653e-05
12,1000,0.9053202271461487,0.9042402792754773,1.0133155185773028,0.8296235203742981,False,-0.16088421642780304,-0.023192107677459717,-0.0014374093152582645,0.0010802507167682052,-5.8175392041448504e-05,0.006507778540253639,3.2219375611930445e-07,-4.091220034752041e-05,1.7888025467982516e-05
12,2000,0.8926202058792114,0.9023402453970142,1.0131073500605394,0.17546063661575317,False,-0.15977008640766144,0.025543004274368286,-0.0011080875992774963,0.0008543075527995825,-0.00013267305621411651,0.005159654188901186,1.0990562486767885e-06,-4.573151818476617e-05,1.8747872672975063e-05
12,3000,0.890875518321991,0.9020431265751021,1.0128303782130543,0.08218929171562195,False,-0.15827135741710663,0.026519078761339188,-0.0010161524405702949,0.0006356018711812794,-0.00019237138621974736,0.0038614931982010603,2.3981474441825412e-06,-5.10700665472541e-05,1.6826095816213638e-05
12,5000,0.890002429485321,0.9017131281661989,1.0125017681075503,0.024197841063141823,False,-0.15743087232112885,0.0267244391143322,-0.0010139434598386288,0.000491380225867033,-0.00039494072552770376,0.003008259693160653,7.32601711206371e-06,-5.909741958021186e-05,1.553094625705853e-05
13,0,369864.78125,1.0604052068674974,1.1502216460464512,6583137.5,False,-0.3096958100795746,0.41949158906936646,0.5610510110855103,-0.15965653955936432,-0.16765712201595306,0.1555696278810501,-0.008061803877353668,0.12314245849847794,-0.025944292545318604
13,100,98.96723175048828,0.9980233541962662,1.0963457455285897,3250.578125,False,0.11153341829776764,0.3354436755180359,0.35801807045936584,-0.059408605098724365,-0.021726032719016075,0.03701205551624298,0.013356431387364864,0.025651294738054276,4.566397547023371e-05
13,500,1.6791393756866455,0.9514984392272884,1.0628000466597933,12.613310813903809,False,0.015531924553215504,0.297952800989151,0.0072983927093446255,-0.057807233184576035,0.017724575474858284,0.03549498692154884,0.0003457373532000929,0.000698600139003247,8.153352973749861e-05
13,1000,1.4025055170059204,0.9443297760427914,1.0590786735680353,7.283910751342773,False,-0.1967964619398117,0.20830169320106506,-0.001767510431818664,-0.05489270016551018,0.017300061881542206,0.03380415588617325,4.6568369725719094e-05,0.00012841996795032173,7.363859913311899e-05
13,2000,1.1611926555633545,0.9229525000890466,1.0352383379235863,4.216643333435059,False,-0.19161689281463623,0.06877230107784271,-0.002412638859823346,-0.04587104544043541,0.013336898759007454,0.028523575514554977,2.2461255866801366e-05,7.473285222658888e-05,5.720741319237277e-05
13,3000,1.0293552875518799,0.9150282773642766,1.026128479928216,2.342369318008423,False,-0.1814498007297516,0.02857121080160141,-0.002075535710901022,-0.033812444657087326,0.008521944284439087,0.021264679729938507,9.302017133450136e-06,4.070542854606174e-05,4.366808570921421e-05
13,5000,0.8997244238853455,0.9044069866456522,1.0152630725850462,0.40456679463386536,False,-0.16168124973773956,0.026327062398195267,-0.0008946908637881279,-0.010720362886786461,0.0016623412957414985,0.006797422654926777,-4.054732926306315e-06,-1.1819608516816515e-05,2.1351232135202736e-05
14,0,44820.23828125,1.128446413771828,1.2164932541037687,1552867.125,False,-0.5080463886260986,-0.409562885761261,-0.23971788585186005,0.0012195263989269733,-0.006911315489560366,0.008999734185636044,-0.012686269357800484,0.0006904696929268539,0.008973890915513039
14,100,1.677597999572754,1.0931254530562942,1.1840309975004548,706.15185546875,False,-0.5209736227989197,-0.3606536090373993,-0.001267298823222518,1.5545983842457645e-06,-3.718178277267725e-06,2.9327582069527125e-06,-3.1120052881306037e-06,-1.8111121846686729e-07,8.647838285469334e-07
