checkpoint_epoch,seed,epoch,pde_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,3,12,77.18017578125,1.073354722115702,0.327029559167537,0.2946404769418531,0.020281999020205728,0.0014938927570359787,0.1404272607136724,0.022154367458004896,0.0019259032184861568,-0.0006084135017432508,0.00025997946506867424,4.633706640083868e-06
0,3,13,77.1240234375,1.0736595228960792,0.3254805025156527,0.2925677177983778,0.01903612716183787,0.0014799303719026748,0.14133338044852709,0.02296833802838966,0.0019054679144235218,-0.0006992165117277192,0.00026404722722566564,4.5955865818218846e-06
0,3,14,77.06721496582031,1.0740890589538648,0.32405377949795416,0.2905846291975763,0.017791668640852215,0.0014604290609925093,0.14230461595052168,0.02387144645550481,0.001890428031656069,-0.0007954629820734219,0.00026755611440358465,4.625074638688983e-06
0,3,15,77.00971221923828,1.0747162323551327,0.32299832228836506,0.2889972280173569,0.016548726279412822,0.001436992953749131,0.1432837836553957,0.024862175444051383,0.0018806465297153047,-0.0008974337815906039,0.0002704779514436723,4.713906756466217e-06
0,3,16,76.95153045654297,1.0755642837365593,0.3223965202115697,0.2879228870544989,0.015307402899683735,0.0014114638284226564,0.1442255422848258,0.025940289942941397,0.0018757476416163675,-0.0010054123004587885,0.0002727951674400051,4.851156112716407e-06
0,3,17,76.89265441894531,1.0766086675761484,0.3221676462591434,0.2872928933484924,0.014067802258575951,0.001385887716975949,0.14509319979865648,0.027106491863354825,0.0018753607632421686,-0.0011196825152224468,0.0002744944786577907,5.026239377323991e-06
0,3,18,76.83312225341797,1.077793642647153,0.3221228740307168,0.28691338280390843,0.01283002717825352,0.0013624055296807722,0.14585643904859455,0.028362110459720244,0.0018792192212486124,-0.0012405262328757417,0.00027556292614792834,5.230066933918969e-06
0,3,19,76.77298736572266,1.079054321799786,0.32203987217271,0.2865493514106391,0.011594179546133546,0.001343046083199739,0.1464896372267513,0.029708924015096387,0.001887177445211755,-0.0013682192794903629,0.0002759864466899655,5.4551870791903115e-06
0,3,20,76.71228790283203,1.0803390383022815,0.32173852144156884,0.2860105012216384,0.010360362184380077,0.0013294471609469139,0.14697071188697516,0.031148957210923863,0.0018991977237496026,-0.0015030271611149095,0.00027575010014208175,5.695574361905457e-06
0,3,21,76.6511001586914,1.0816264057207523,0.32113847078669766,0.2852168523148386,0.009128677915157162,0.0013226169582129107,0.147280280669123,0.03268432712803648,0.0019153296652872776,-0.001645199317398397,0.0002748390437981643,5.946359736241936e-06
0,3,22,76.5895767211914,1.08293152473819,0.32028120450682196,0.2842242743482399,0.0078992304953758,0.0013228363562123448,0.1474013924108268,0.03431706979516876,0.0019356940360361634,-0.001794963492486753,0.0002732410332376344,6.203610749188761e-06
0,3,23,76.5278549194336,1.0842991260809958,0.31930952345394115,0.28320187511182976,0.0066721218124530905,0.0013297464224069089,0.1473194599254355,0.03604895863225348,0.001960471087423287,-0.001952515532272716,0.0002709497189002183,6.464193244128885e-06
0,3,24,76.46613311767578,1.0857886973819928,0.31842029148840123,0.28237858582680325,0.005447456558046977,0.0013425407558901282,0.14702252889024806,0.037881261294123725,0.0019898967400586187,-0.0021180111752865604,0.0002679704597498299,6.725732008200057e-06
