loss,loss_data,loss_pde,l1,loss_tv,coeff_mag,ema_grad,ema_drift,prune_applied,feature_names,feature_scales
1.8832638263702393,0.6313256025314331,1.7884831428527832,2.1873786449432373,0.0,0.8502926230430603,0.11014755815267563,0.00030471966601908207,0,u|u_x|u_xx,"tensor([   3.1310,   44.8469, 1489.3633])"
2.1829137802124023,0.6561633348464966,2.1810719966888428,2.188382148742676,0.0,0.8505316376686096,0.10913258045911789,0.00030498579144477844,0,u|u_x|u_xx,"tensor([   3.2375,   49.5195, 1463.8013])"
1.9579074382781982,0.6516889929771423,1.8660264015197754,2.189681053161621,0.0,0.8508526086807251,0.10813617706298828,0.0003058982256334275,0,u|u_x|u_xx,"tensor([   3.3161,   49.9826, 1454.4423])"
1.8409920930862427,0.617820143699646,1.7473886013031006,2.190847635269165,0.0,0.8511298298835754,0.10732238739728928,0.0003063865297008306,0,u|u_x|u_xx,"tensor([   3.2974,   45.6218, 1465.6521])"
2.142369270324707,0.650905966758728,2.130661725997925,2.1918654441833496,0.0,0.8513461351394653,0.10643355548381805,0.0003068844962399453,0,u|u_x|u_xx,"tensor([   3.0730,   45.4822, 1461.5184])"
1.982229471206665,0.6130929589271545,1.955909252166748,2.1925203800201416,0.0,0.8514664173126221,0.10540490597486496,0.0003068355727009475,0,u|u_x|u_xx,"tensor([   3.2956,   46.2331, 1440.8513])"
1.8876087665557861,0.6462470889091492,1.7733737230300903,2.1928036212921143,0.0,0.8514477014541626,0.10446105152368546,0.00030731200240552425,0,u|u_x|u_xx,"tensor([   2.9295,   49.2912, 1350.3311])"
1.8596420288085938,0.5682138204574585,1.8448975086212158,2.1929690837860107,0.0,0.8514067530632019,0.10367982089519501,0.0003074757696595043,0,u|u_x|u_xx,"tensor([   3.0021,   50.5195, 1383.0857])"
1.8617174625396729,0.5990706086158752,1.8037811517715454,2.192936897277832,0.0,0.8513302803039551,0.10276557505130768,0.0003068123187404126,0,u|u_x|u_xx,"tensor([   3.2106,   47.5937, 1342.9967])"
1.807215929031372,0.6123911738395691,1.7068923711776733,2.1927051544189453,0.0,0.8511966466903687,0.1018172949552536,0.0003060106246266514,0,u|u_x|u_xx,"tensor([   2.9102,   44.5296, 1393.5962])"
