regime,time,max_abs_u_x,max_abs_u_xx,spectral_max_abs_u_x,spectral_max_abs_u_xx
smooth,0.8460000000000006,0.8248955448817306,0.9662223178563452,0.8252788385935297,0.9665316391070174
smooth,0.8480000000000006,0.8261037692374674,0.9689624498688029,0.8264892842324434,0.9692723851809624
smooth,0.8500000000000006,0.8273150937979251,0.9717042924720771,0.8277028448778935,0.9720148283798691
smooth,0.8520000000000006,0.8285295287204777,0.9744477899353146,0.8289195307953653,0.9747589127695634
smooth,0.8540000000000006,0.8297470841978026,0.9772316208323955,0.8301393522865045,0.9775834015619963
smooth,0.8560000000000006,0.8309677704579781,0.9801933568623821,0.8313623196891887,0.9805461138219503
smooth,0.8580000000000007,0.832191597764579,0.9831583285743393,0.832588443377641,0.9835120496602343
smooth,0.8600000000000007,0.8334185764167729,0.9861264834598445,0.8338177337625297,0.9864811563424563
smooth,0.8620000000000007,0.8346487167494163,0.9890977685421638,0.8350502012910693,0.9894533806671479
smooth,0.8640000000000007,0.8358820291331508,0.9920721303759744,0.8362858564471225,0.9924286689603161
smooth,0.8660000000000007,0.8371185239744979,0.9950495150470894,0.8375247097513214,0.9954069670798493
smooth,0.8680000000000007,0.8383582117159555,0.9980298681727333,0.8387667717611184,0.9983882204121693
smooth,0.8700000000000007,0.8396011028360925,1.001013134901819,0.8400120530709649,1.001372373873683
smooth,0.8720000000000007,0.8408472078496442,1.003999259914671,0.8412605643123351,1.0043593719117305
smooth,0.8740000000000007,0.8420965373076068,1.0069881874234865,0.8425123161539008,1.0073491585033412
smooth,0.8760000000000007,0.8433491017973335,1.0099798611725193,0.8437673193015603,1.0103416771574953
smooth,0.8780000000000007,0.8446049119426267,1.0129742244380802,0.8450255844985994,1.0133368709120845
smooth,0.8800000000000007,0.8458639784038348,1.0159712200289976,0.8462871225257642,1.0163346823375068
smooth,0.8820000000000007,0.8471263118779441,1.0189707902871703,0.8475519442013676,1.0193350535350363
smooth,0.8840000000000007,0.8483919230986741,1.0219728770877516,0.8488200603813961,1.0223379261374412
smooth,0.8860000000000007,0.8496608228365702,1.024977421839519,0.8500914819596004,1.0253432413108086
smooth,0.8880000000000007,0.8509330218990975,1.0279843654855172,0.8513662198675824,1.0283509397551966
smooth,0.8900000000000007,0.8522085311307339,1.0309936485037057,0.8526442850749509,1.0313609617013997
smooth,0.8920000000000007,0.8534873614130623,1.034015212819183,0.853925688589369,1.0344333965840997
smooth,0.8940000000000007,0.8547695236648637,1.0372695059376702,0.8552104414566651,1.0376889250682124
smooth,0.8960000000000007,0.8560550288422095,1.0405279834741323,0.8564985547609312,1.0409486242758712
smooth,0.8980000000000007,0.8573438879385533,1.0437905903424964,0.8577900396246585,1.0442124388504714
smooth,0.9000000000000007,0.8586361119848224,1.0470572709188046,0.8590849072087662,1.0474803128936254
smooth,0.9020000000000007,0.8599317120495089,1.0503279690407519,0.8603831687127736,1.0507521899684322
smooth,0.9040000000000007,0.8612306992387622,1.053602628007226,0.8616848353748641,1.0540280130962243
smooth,0.9060000000000007,0.8625330846964774,1.0568811905777544,0.862989918471964,1.0573077247579987
smooth,0.9080000000000007,0.8638388796043883,1.0601635989723202,0.8642984293198982,1.060591266892484
smooth,0.9100000000000007,0.8651480951821554,1.0634497948713615,0.86561037927342,1.063878580896578
smooth,0.9120000000000007,0.866460742687457,1.0667397194152193,0.8669257797263639,1.0671696076257726
smooth,0.9140000000000007,0.8677768334160769,1.0700333132039526,0.8682446421117094,1.0704642873943315
smooth,0.9160000000000007,0.869096378701996,1.0733305162975229,0.8695669779016971,1.0737625599727567
smooth,0.9180000000000007,0.8704193899174784,1.0766312682155181,0.8708927986079245,1.0770643645908171
smooth,0.9200000000000007,0.8717458784731613,1.079935507937152,0.8722221157814252,1.0803696399342388
smooth,0.9220000000000007,0.8730758558181418,1.083243173901264,0.8735549410127805,1.0836783241487202
smooth,0.9240000000000007,0.8744093334400657,1.0865542040062284,0.8748912859322135,1.0869903548359612
smooth,0.9260000000000007,0.875746322865213,1.0898685356107816,0.8762311622096739,1.090305669057404
smooth,0.9280000000000007,0.8770868356585858,1.0931861055332872,0.8775745815549536,1.0936242033310806
smooth,0.9300000000000007,0.8784308834239939,1.0965068500526554,0.8789215557177714,1.0969458936355299
smooth,0.9320000000000007,0.879778477804141,1.0998307049081606,0.8802720964878367,1.1002706754055271
smooth,0.9340000000000007,0.8811296304807096,1.1033573281905356,0.8816262156950166,1.103862479271974
smooth,0.9360000000000007,0.8824843531744464,1.1069606674514283,0.8829839252093633,1.107467391949168
smooth,0.9380000000000007,0.8838426576452468,1.1105692967208916,0.8843452369412089,1.111077578809787
smooth,0.9400000000000007,0.885204555692238,1.1141831577066406,0.8857101628413107,1.1146929812277675
smooth,0.9420000000000007,0.8865700591538636,1.1178021914965819,0.8870787149009114,1.1183135399540025
smooth,0.9440000000000007,0.8879391799079659,1.12142633855734,0.8884509051518032,1.1219391951174829
smooth,0.9460000000000007,0.8893119298718688,1.1250555387335195,0.8898267456664684,1.1255698862210002
smooth,0.9480000000000007,0.8906883210024596,1.1286897312468758,0.8912062485581463,1.1292055521424897
smooth,0.9500000000000007,0.8920683652962706,1.1323288546959462,0.8925894259809283,1.1328461311345381
smooth,0.9520000000000007,0.8934520747895599,1.1359728470546688,0.8939762901298414,1.1364915608214168
smooth,0.9540000000000007,0.8948394615583918,1.139621645672381,0.8953668532409473,1.1401417782004275
smooth,0.9560000000000007,0.8962305377187166,1.1432751872728064,0.8967611275914267,1.1437967196428036
smooth,0.9580000000000007,0.8976253154264507,1.1469334079536873,0.8981591254996726,1.1474563208885322
smooth,0.9600000000000007,0.8990238068775537,1.1505962431859529,0.8995608593253781,1.1511205170494883
smooth,0.9620000000000007,0.900426024308108,1.1542636278137222,0.9009663414695949,1.1547892426085493
smooth,0.9640000000000007,0.9018319799943959,1.1579354960538406,0.9023755843748816,1.1584624314190841
smooth,0.9660000000000007,0.903241686252976,1.161611781495145,0.9037886005253439,1.1621400167011646
smooth,0.9680000000000007,0.9046551554407601,1.1652924170987382,0.9052054024467183,1.1658219310488347
smooth,0.9700000000000008,0.9060723999550889,1.168977335197253,0.9066260027064834,1.169508106423031
smooth,0.9720000000000008,0.9074934322338066,1.1726664674952205,0.9080504139139359,1.1731984741546744
smooth,0.9740000000000008,0.9089182647553359,1.176359745068241,0.909478648720255,1.1768929649427047
smooth,0.9760000000000008,0.9103469100387503,1.1800905500050618,0.9109107198186328,1.180707615401694
smooth,0.9780000000000008,0.9117793806438496,1.184102614181212,0.9123466399442932,1.1847217448521103
smooth,0.9800000000000008,0.9132156891712302,1.1881214165794036,0.9137864218746314,1.1887425946888772
smooth,0.9820000000000008,0.9146558482623569,1.1921468964118078,0.915230078429279,1.1927701037150824
smooth,0.9840000000000008,0.9160998705996352,1.1961789921740298,0.9166776224701499,1.1968042100109235
smooth,0.9860000000000008,0.9175477689064804,1.2002176416440018,0.918129066901589,1.200844850937436
smooth,0.9880000000000008,0.918999555947387,1.2042627818802325,0.9195844246703748,1.204891963131313
smooth,0.9900000000000008,0.9204552445279984,1.2083143492210702,0.9210437087658673,1.2089454825080903
smooth,0.9920000000000008,0.921914847495174,1.2123722792818454,0.9225069322200455,1.2130053442529922
smooth,0.9940000000000008,0.9233783777370568,1.21643650695524,0.9239741081075938,1.2170714828286704
smooth,0.9960000000000008,0.9248458481831391,1.2205069664082464,0.9254452495459962,1.221143831965478
smooth,0.9980000000000008,0.9263172718043295,1.2245835910823515,0.9269203696955826,1.2252223246688358
smooth,1.0000000000000007,0.9277926616130169,1.2286663136917855,0.9283994817596318,1.2293068932101323
shock,0.0,3.5920632660108653,22.646285563598397,3.59746423181475,28.541285580070017
shock,0.002,3.616637425213711,20.962603810118612,3.6203591813087326,25.736025597063524
shock,0.004,3.6415161430166973,19.549063687911087,3.64377947470774,23.419761298942163
shock,0.006,3.6667040452301016,18.358147007247286,3.668433520837456,21.50134155583154
shock,0.008,3.692205808392838,17.35114698671444,3.694586318742961,19.907250865686066
shock,0.01,3.718026158018285,16.49648198026068,3.720938372444445,18.57812056133313
shock,0.012,3.74416986661634,15.768338323104665,3.7475233697117565,17.46594012613582
shock,0.014,3.770641751475654,15.145577188315226,3.7743683872733422,16.531826687670492
shock,0.016,3.7974466721890656,14.610853348757413,3.8014954294732424,15.744239752742669
shock,0.018000000000000002,3.824589527904285,14.149904128232258,3.828922610927303,15.077551282837046
shock,0.020000000000000004,3.8520752542809245,13.750975128508655,3.85666506519322,14.51089951684877
shock,0.022000000000000006,3.8799088201338727,13.40435595640571,3.884735642557808,14.027269502935852
shock,0.024000000000000007,3.908095223742014,13.422785631184961,3.913145445492759,13.612754876697334
shock,0.02600000000000001,3.936639488800119,13.467435338264055,3.941904239132853,13.489538357303609
shock,0.02800000000000001,3.965546659990641,13.513238656480262,3.9710207655142686,13.535739670787484
shock,0.030000000000000013,3.9948217981509484,13.560219101239044,4.000502983678356,13.583063464961814
