seed,treatment,initial_pde_mse,minimum_pde_mse,epoch_of_minimum_pde_mse,final_pde_mse,pde_prediction_mse,coefficient_error,loose_success,strong_success,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,spurious_l2,ever_loose_success,ever_strong_success
16,scaled,1.4680814743041992,0.08980368077754974,302,0.08980368077754974,0.08980368173923886,0.11315475225309414,True,False,-0.024359053913766842,0.030097659038715686,0.010185024191612721,-0.009297507883123134,-0.8945992623489832,-0.0034898391624046243,0.0003519189462668379,-0.0006079802512644739,-2.3727583818866373e-06,0.03997935354606706,True,False
17,unscaled,247364.46875,1.608845591545105,1000,1.608845591545105,1.6088456696131859,1.036083639222615,False,False,-0.16668324172496796,0.03550882264971733,-0.0009168162941932678,0.029065940529108047,0.02025977522134781,0.047038692981004715,0.00012939459702465683,0.00033846363658085465,8.32554287626408e-05,0.17916971096191872,False,False
17,scaled,2.4809086322784424,0.08980368077754974,516,0.08980368077754974,0.0898036818300802,0.11315555212344341,True,False,-0.024359147432245494,0.030097933272350167,0.010185020570635566,-0.00929761898103257,-0.8945985140194251,-0.0034898476182032615,0.00035193431749733434,-0.0006079793153279447,-2.372762773729799e-06,0.03997964367336399,True,False
18,unscaled,40991.98046875,1.054272174835205,1000,1.054272174835205,1.0542720703887756,1.0227049078065376,False,False,-0.180585578083992,-0.024274708703160286,-0.009258301928639412,0.017695611342787743,0.005753504578024149,-0.001333584194071591,-0.0036506177857518196,-0.0007180104148574173,9.875693649519235e-06,0.1831097164239335,False,False
18,scaled,1.2535427808761597,0.08980368077754974,377,0.08980368077754974,0.08980368365130907,0.11315532278205256,True,False,-0.024358125253525348,0.030097785371064154,0.01018506281536904,-0.009297338379455592,-0.894598456455613,-0.0034898610065511033,0.00035283453002739096,-0.0006079652138842377,-2.372730885129452e-06,0.039978853165554176,True,False
19,unscaled,17285982.0,165.97251892089844,1000,165.97251892089844,165.97253516504273,1.7831821755148811,False,False,0.35808566212654114,-1.5022258758544922,0.0382191501557827,-0.12278585880994797,-0.12885314226150513,-0.024469520896673203,0.14101114869117737,0.006498108617961407,-0.000684353057295084,1.5557987935121727,False,False
19,scaled,3.0801756381988525,0.08980367332696915,913,0.08980368077754974,0.08980368146813784,0.11315544307177805,True,False,-0.024359121334065405,0.030097948678734127,0.010185024191612721,-0.00929761898103257,-0.8945986291470495,-0.0034898483228531477,0.000351934118388131,-0.0006079793153279447,-2.372762582780096e-06,0.039979639430214556,True,False
20,unscaled,5676093.0,0.9815926551818848,1000,0.9815926551818848,0.9815926745610852,1.0150326252719177,False,False,-0.21053580939769745,0.16831067204475403,-0.013364733196794987,0.027122076600790024,-0.022382741793990135,0.006761068943887949,0.0025379445869475603,-0.0009752587648108602,2.5596562409191392e-05,0.27100280700183205,False,False
20,scaled,4.849246025085449,0.08980369567871094,983,0.08980369567871094,0.08980369445416049,0.11324764710372633,True,False,-0.024369788965176713,0.030208535702795906,0.010184593295331291,-0.009327049134665033,-0.8945364602299162,-0.0034922737277622187,0.00035703856156815933,-0.0006079456216128926,-2.374515882950076e-06,0.04007654107973926,True,False
21,unscaled,599482.3125,1.1327611207962036,1000,1.1327611207962036,1.1327612161353697,1.0483657658786156,False,False,-0.15463890135288239,0.27401918172836304,0.0003300535900052637,0.0001067334960680455,-0.00015795875515323132,0.00021140494209248573,3.5225613828515634e-05,-7.108664431143552e-05,2.6246338165947236e-05,0.31464228074723527,False,False
21,scaled,1.0006399154663086,0.08980367332696915,473,0.08980368077754974,0.08980368159904044,0.11315499257646587,True,False,-0.024359040864676797,0.030097769964680197,0.01018504108950611,-0.009297519310336675,-0.8945990320937346,-0.003489834934505306,0.0003518532004079012,-0.0006079825599079126,-2.3727639194280147e-06,0.03997943084872238,True,False
22,unscaled,842933.375,1.4357091188430786,1000,1.4357091188430786,1.4357091742456913,1.0783167514364478,False,False,-0.1637112945318222,0.36223021149635315,-0.0009569927933625877,0.0894845575094223,-0.0020278815645724535,0.018970154225826263,2.9951102078484837e-06,-3.569924592738971e-05,5.9679347032215446e-05,0.407896398252078,False,False
22,scaled,1.5548819303512573,0.08980367332696915,543,0.08980368077754974,0.08980368157029935,0.11315492612787248,True,False,-0.02435901259164837,0.030097739151912276,0.010185042296498496,-0.009297533911776202,-0.8945990896575468,-0.003489840571704397,0.00035191890644499724,-0.0006079787537660271,-2.372753799093773e-06,0.03997939483365005,True,False
23,unscaled,492180.84375,1.4251030683517456,1000,1.4251030683517456,1.4251030266442148,1.1009735789490627,False,False,-0.15790283679962158,0.27230677008628845,-0.0043070679530501366,-0.027333291247487068,0.05410819500684738,-0.023967912420630455,0.0013212660560384393,-0.000550254771951586,-1.2087905815860722e-05,0.31687205810995706,False,False
23,scaled,1.0811936855316162,0.08980367332696915,811,0.08980368077754974,0.0898036821378426,0.11315482072487375,True,False,-0.024359071312553566,0.030097686770206813,0.01018503626153657,-0.0092975535919773,-0.8945992047851711,-0.0034898444472787724,0.00035222533550890886,-0.000607962718053493,-2.372698614629699e-06,0.03997939854690989,True,False
24,unscaled,1256631.75,1.3909213542938232,1000,1.3909213542938232,1.390921260582987,0.985336430742044,False,False,0.04383477941155434,0.108248271048069,0.027554575353860855,0.0034546784590929747,-0.021703587844967842,-0.009823671542108059,0.003986990544945002,0.0018516462296247482,-4.375058324512793e-06,0.11733260460453898,False,False
24,scaled,1.7666890621185303,0.08980367332696915,615,0.08980368077754974,0.08980368174323908,0.11315518987386647,True,False,-0.024359103935278677,0.03009782850893924,0.010185020570635566,-0.00929757962063037,-0.8945988594022981,-0.003489845856578545,0.000351927826537306,-0.0006079800016813994,-2.3727631556292043e-06,0.03997952894789288,True,False
